Kunci,STNK,BPKB,Tahun,Mesin,Eksterior,TNKB,Outcome,Prediction
0,0,0,2010,6,4,B3312TBU,C,C
1,0,0,2014,7,4,B3531SPC,C,C
1,1,1,2016,9,6,F3327DU,A,C
1,0,0,2017,8,8,B4759SCK,A,C
1,0,0,2009,5,4,B6829SRF,C,C
1,0,0,2017,6,6,F5790FBX,B,C
1,0,0,2011,7,4,B3711MZ,C,C
1,1,1,2017,9,5,B4012SCE,B,A
1,0,0,2015,7,7,B3654KOS,B,C
1,0,0,2009,6,5,B6399SKB,C,C
0,1,1,2017,8,7,B6229TMS,B,A
0,0,0,2010,5,6,B3218BFG,C,C
1,0,0,2016,8,6,B6703WLW,B,B
1,1,0,2009,6,6,B6228SUN,C,C
1,0,0,2017,8,8,B644ZMA,B,C
1,0,0,2017,9,8,F5277EB,A,A
0,0,0,2016,7,7,B3910SVL,B,B
1,0,0,2014,7,5,B6894WLU,B,C
1,1,0,2011,3,5,B3173TNZ,C,C
1,0,0,2009,3,4,B6415PXZ,C,C
1,0,1,2011,8,5,B6235TYG,C,A
1,1,1,2017,9,7,B8712EXM,A,C
1,0,0,2016,5,6,B1936WTY,C,A
1,0,1,2017,7,5,F9867DH,C,C
1,0,0,2016,8,7,B3467POC,A,C
1,0,0,2011,7,5,B2736XYZ,B,A
1,0,0,2016,7,5,F5357DT,B,C
1,0,0,2016,8,6,B3166PEL,C,C
1,1,0,2017,8,7,B4832TRN,C,B
1,0,0,2016,6,7,B4426TNY,B,C
1,0,0,2014,7,4,B3733SOZ,A,B
1,0,0,2017,8,7,BK2257RAC,A,C
0,0,0,2010,7,5,B3103TCT,C,C
1,1,0,2017,9,8,B4620SBE,A,B
1,0,0,2010,4,5,B5675TRD,C,A
1,0,0,2012,6,6,B4387SGB,C,C
0,0,0,2010,6,5,B9075TBJ,C,C
1,0,0,2017,8,8,B1956SFT,A,A
1,0,0,2016,7,6,B3784TUG,B,C
1,0,0,2016,5,2,B4653STR,C,C
1,0,1,2017,9,7,B8326SDF,A,B
1,0,0,2014,6,7,B5398SDT,C,C
1,0,0,2016,7,6,B1735TPY,B,C
0,0,0,2015,6,7,B9473EXT,C,A
1,1,0,2017,9,7,B6385SYP,A,C
1,0,0,2017,8,6,B8573WTR,B,C
1,1,1,2015,9,3,B3956WXY,B,A
0,1,0,2016,7,8,B2786PIT,B,C
1,0,0,2015,6,4,B4826TRM,C,C
0,0,0,2015,8,7,B8293PHJ,B,C
0,0,0,2014,7,5,B9363EXB,C,
1,0,0,2017,8,6,B6832SBN,B,
1,0,1,2015,7,4,B5286WYT,B,
1,0,0,2017,6,8,B9124TKT,C,
1,1,0,2009,6,7,B9263TVC,C,
1,0,1,2014,7,7,B7281SHC,B,
1,0,0,2015,8,7,B3752SGF,B,
1,0,0,2015,8,7,B3826PUT,A,
1,1,0,2013,6,6,B7226TLD,C,
1,0,0,2016,8,6,B6291EXE,C,
1,1,0,2011,8,7,B8219TUN,C,
1,0,0,2017,6,6,B6282WVC,C,
0,1,0,2017,8,7,B9648ECH,B,
1,0,0,2015,8,7,B8453TKC,C,
1,0,0,2013,6,6,B8232WYH,C,
1,0,0,2017,6,7,B5173PXC,A,
1,0,1,2010,7,6,B9682TLM,C,
1,0,0,2009,5,5,B8246WST,C,
0,1,0,2011,6,7,B7297ETY,C,
1,0,0,2016,9,8,B9156TDF,A,
1,0,0,2015,8,8,B2374SFG,B,
1,0,0,2017,8,6,B7836SXC,A,
0,1,0,2016,7,7,B9826TAB,B,
1,0,0,2016,8,5,B5092EBC,B,
1,0,0,2014,7,6,B3080SKL,C,
1,0,0,2012,7,7,B9039PSH,C,
1,0,0,2014,5,6,B7026EBN,C,
1,1,0,2016,8,6,B6960TLN,B,
1,0,0,2017,9,8,B3402TYV,A,
1,0,0,2015,8,7,B8020TFC,C,
1,0,0,2015,5,6,B7387PKM,C,
1,0,1,2017,8,8,B3745WDF,A,
1,1,1,2017,9,8,B6302PBX,A,
1,0,0,2014,6,8,B8269TRC,C,
1,0,0,2014,8,6,B2476WFT,B,
1,0,0,2016,7,5,B5490TAD,C,
1,0,0,2010,6,5,B4215PGT,C,
1,0,0,2016,7,7,B4185TZA,B,
1,0,1,2015,8,5,B3025TVD,B,
0,0,0,2013,5,5,B7129TFT,C,
1,1,1,2017,9,8,B3937TKD,A,
1,0,0,2017,8,5,B3064TLF,B,
1,0,0,2011,5,6,B6223WLD,C,
1,0,0,2010,6,6,B2649ETK,C,
1,1,0,2017,9,7,B4638TFH,A,
1,0,0,2016,8,7,B3157TVC,B,
1,0,1,2013,8,6,B4034TAF,C,
1,0,0,2014,6,8,B4863TLP,B,
1,1,1,2017,9,8,B3729POW,A,
1,0,0,2015,6,6,B2946TJK,C,
