Kunci,SNTK,BPKB,Tahun,Mesin ,Eksterior,Interior,Outcome,Prediction,TNKB
1,0,0,2015,7,7,7,B,C,B1220VKF
1,1,0,2015,5,7,6,C,C,B9869NAB
1,0,0,2005,7,8,8,B,C,B3728EBC
1,1,0,2017,7,8,7,C,C,B9273TRN
1,0,0,2017,8,7,8,B,C,B2638SOH
1,0,0,2009,6,6,7,C,C,B7352EE
1,0,0,2015,9,5,8,C,C,B4682ZFX
1,0,0,2016,9,7,6,B,B,B3582ZFY
1,1,0,2011,6,7,7,C,C,B8352TCX
1,1,1,2017,9,8,8,A,C,B5639ERT
1,0,0,2014,8,7,5,C,C,B6375TUD
1,0,0,2005,5,5,6,C,C,B3927PQT
1,0,0,2012,8,7,8,B,C,B9532STY
1,0,0,2014,8,8,7,B,A,B4329TRG
1,0,1,2013,5,7,6,B,C,B4937TQZ
1,0,0,2017,4,8,8,C,C,B4832TCX
1,0,0,2011,8,6,6,C,C,B6482TPF
1,1,1,2016,9,8,6,A,C,B2472SIT
1,0,1,2014,8,8,8,A,C,B4253SDG
1,0,0,2014,8,5,5,C,B,B2046EBL
1,1,0,2015,8,6,6,B,C,B2174ELS
1,0,0,2015,8,7,7,B,C,B4291TAN
1,1,0,2009,8,7,8,C,C,B3610SZX
1,0,0,2017,6,8,8,C,,B3491SNB
1,0,0,2009,7,6,7,C,,B3183EWB
1,0,0,2016,8,7,8,B,,B4193SXD
1,0,0,2015,8,8,7,A,,B3036EYG
1,0,0,2011,6,6,7,C,,B4285PL
1,1,0,2016,9,7,8,A,,B6206SVN
1,0,0,2011,7,6,7,C,,B3828SMC
1,0,0,2016,6,8,6,C,,B4086SOT
1,0,0,2008,6,6,4,C,,B2846SOP
1,0,0,2016,8,8,8,A,,B8632PD
1,1,0,2017,9,8,7,A,,B4392ELD
1,0,0,2005,6,6,7,C,,B3590TKS
1,1,1,2017,9,6,8,A,,B3771SDT
1,1,1,2016,8,8,8,A,,B3286SYB
1,1,1,2015,8,8,7,B,,B2263WTY
1,0,0,2017,9,6,6,B,,B3729PK
1,0,0,2015,6,9,8,C,,B3628SCR
1,1,0,2016,6,8,5,C,,B3796TDH
1,0,0,2013,6,7,7,C,,B9472ETH
1,1,0,2012,7,7,6,B,,B5839SXL
1,0,0,2016,8,8,8,B,,B4238SVM
1,1,1,2017,9,8,8,A,,B8247PH
