Kunci,STNK,BPKB,Tahun,Mesin,Eksterior,Outcome
0,0,0,2010,6,4,0
1,0,0,2014,7,4,0
1,1,1,2016,9,6,2
1,0,0,2017,8,8,2
1,0,0,2009,5,4,0
1,0,0,2017,6,6,1
1,0,0,2011,7,4,0
1,1,1,2017,9,5,1
1,0,0,2015,7,7,1
1,0,0,2009,6,5,0
0,1,1,2017,8,7,1
0,0,0,2010,5,6,0
1,0,0,2016,8,6,1
1,1,0,2009,6,6,0
1,0,0,2017,8,8,1
1,0,0,2017,9,8,2
0,0,0,2016,7,7,1
1,0,0,2014,7,5,1
1,1,0,2011,3,5,0
1,0,0,2009,3,4,0
1,0,1,2011,8,5,0
1,1,1,2017,9,7,2
1,0,0,2016,5,6,0
1,0,1,2017,7,5,0
1,0,0,2016,8,7,2
1,0,0,2011,7,5,1
1,0,0,2016,7,5,1
1,0,0,2016,8,6,2
1,1,0,2017,8,7,2
1,0,0,2016,6,7,1
1,0,0,2014,7,4,0
1,0,0,2017,8,7,2
0,0,0,2010,7,5,0
1,1,0,2017,9,8,2
1,0,0,2010,4,5,0
1,0,0,2012,6,6,0
0,0,0,2010,6,5,0
1,0,0,2017,8,8,2
1,0,0,2016,7,6,1
1,0,0,2016,5,2,0
1,0,1,2017,9,7,2
1,0,0,2014,6,7,0
1,0,0,2016,7,6,1
0,0,0,2015,6,7,0
1,1,0,2017,9,7,2
1,0,0,2017,8,6,1
1,1,1,2015,9,3,1
0,1,0,2016,7,8,1
1,0,0,2015,6,4,0
0,0,0,2015,8,7,1
0,0,0,2014,7,5,0
1,0,0,2017,8,6,1
1,0,1,2015,7,4,1
1,0,0,2017,6,8,0
1,1,0,2009,6,7,0
1,0,1,2014,7,7,1
1,0,0,2015,8,7,1
1,0,0,2015,8,7,2
1,1,0,2013,6,6,0
1,0,0,2016,8,6,0
1,1,0,2011,8,7,0
1,0,0,2017,6,6,0
0,1,0,2017,8,7,1
1,0,0,2015,8,7,0
1,0,0,2013,6,6,0
1,0,0,2017,6,7,2
1,0,1,2010,7,6,0
1,0,0,2009,5,5,0
0,1,0,2011,6,7,0
1,0,0,2016,9,8,2
1,0,0,2015,8,8,1
1,0,0,2017,8,6,2
0,1,0,2016,7,7,1
1,0,0,2016,8,5,1
1,0,0,2014,7,6,0
1,0,0,2012,7,7,0
1,0,0,2014,5,6,0
1,1,0,2016,8,6,1
1,0,0,2017,9,8,2
1,0,0,2015,8,7,0
1,0,0,2015,5,6,0
1,0,1,2017,8,8,2
1,1,1,2017,9,8,2
1,0,0,2014,6,8,0
1,0,0,2014,8,6,1
1,0,0,2016,7,5,0
1,0,0,2010,6,5,0
1,0,0,2016,7,7,1
1,0,1,2015,8,5,1
0,0,0,2013,5,5,0
1,1,1,2017,9,8,2
1,0,0,2017,8,5,1
1,0,0,2011,5,6,0
1,0,0,2010,6,6,0
1,1,0,2017,9,7,2
1,0,0,2016,8,7,1
1,0,1,2013,8,6,0
1,0,0,2014,6,8,1
1,1,1,2017,9,8,2
1,0,0,2015,6,6,0
